rest and relax,luxury / be spoilt,do sports,"excitement, a challenge",not exceed planned budget,realise creativity,fun and entertainment,good company,health and beauty,free-and-easy-going,entertainment facilities,not care about prices,life style of the local people,intense experience of nature,cosiness/familiar atmosphere,maintain unspoilt surroundings,everything organised,unspoilt nature/natural landscape,cultural offers,change of surroundings
1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1
0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1
1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0
1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1
1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1
1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1
1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1
1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1
1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1
1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1
1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1
1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1
1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1
0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1
1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1
1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1
1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1
1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1
1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1
1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1
1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1
1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0
1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1
1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1
1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1
1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1
1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0
1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1
1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1
1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1
1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1
1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1
1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1
1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1
1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1
